use 1800 1809,,use 1810 1819,,use 1820 1829,,use 1830 1839,,use 1840 1849,,use 1850 1859,,use 1860 1869,,use 1870 1879,,use 1880 1889,,use 1890 1899
dilate,0.209,avow,0.062,lapse,0.067,emigrate,0.128,sell,0.040,contribute,0.190,stifle,0.143,throne,0.025,vex,0.066,hum,0.037
restore,0.209,judge,0.062,license,0.067,restore,0.128,distinguish,0.040,squire,0.190,endear,0.143,smelt,0.025,usurp,0.066,scourge,0.037
account,0.209,allude,0.062,verge,0.067,droop,0.128,tend,0.040,extend,0.190,bristle,0.143,fort,0.025,avert,0.066,fair,0.037
conspire,0.209,engender,0.062,inherit,0.067,mention,0.128,patch,0.040,copper,0.190,mend,0.142,berth,0.025,intersperse,0.066,consist,0.037
amaze,0.209,ray,0.062,stock,0.067,divine,0.128,reproduce,0.040,transpire,0.190,despair,0.142,accommodate,0.024,brighten,0.066,vindicate,0.037
deform,0.209,blast,0.062,grin,0.067,gleam,0.128,approve,0.040,credit,0.190,intoxicate,0.142,impeach,0.024,underlie,0.066,enlarge,0.037
besiege,0.209,martyr,0.062,size,0.067,ditto,0.128,cover,0.040,animate,0.190,depose,0.142,commend,0.024,imply,0.065,roar,0.037
term,0.209,rend,0.062,eclipse,0.067,peal,0.128,sing,0.040,insist,0.190,dun,0.142,tint,0.024,yearn,0.065,assure,0.037
invoke,0.209,thrust,0.062,startle,0.067,scour,0.128,spike,0.040,refinance,0.189,constitute,0.142,seed,0.024,ascertain,0.065,befit,0.037
assail,0.209,enlist,0.062,incorporate,0.067,gratify,0.128,raise,0.040,accord,0.189,covet,0.142,import,0.024,rifle,0.065,diffuse,0.037
captain,0.209,coach,0.062,award,0.067,furrow,0.128,bank,0.040,exert,0.189,amend,0.142,surmise,0.024,reinforce,0.065,repress,0.037
suffice,0.209,derive,0.062,tour,0.067,confer,0.128,foster,0.040,bind,0.189,conform,0.142,mother,0.024,desire,0.065,recruit,0.037
deafen,0.209,rank,0.062,espouse,0.067,abate,0.128,woo,0.040,howl,0.189,recall,0.142,reckon,0.024,pry,0.065,char,0.036
relate,0.209,thunder,0.062,occasion,0.067,redeem,0.128,bolster,0.040,count,0.189,uncover,0.142,evolve,0.024,ditto,0.065,decay,0.036
slave,0.208,seduce,0.062,hide,0.066,unveil,0.128,inhabit,0.040,designate,0.189,abhor,0.142,persist,0.024,import,0.065,deafen,0.036
privilege,0.208,resume,0.062,brigade,0.066,plunder,0.128,bronze,0.040,commend,0.189,import,0.142,sicken,0.024,scour,0.065,scorch,0.036
overrun,0.208,embattle,0.061,represent,0.066,grey,0.128,deck,0.040,emigrate,0.188,heed,0.142,last,0.024,redden,0.065,waft,0.036
emit,0.208,repose,0.061,expose,0.066,martyr,0.128,ride,0.040,pierce,0.188,differ,0.142,hope,0.024,yoke,0.065,grant,0.036
rhyme,0.208,enjoin,0.061,fool,0.066,meddle,0.128,lick,0.040,withhold,0.188,thunder,0.142,smite,0.024,undertake,0.065,choose,0.036
deserve,0.208,riot,0.061,glance,0.066,convene,0.128,rock,0.040,constitute,0.188,nourish,0.142,pierce,0.024,wrest,0.065,contribute,0.036
agree,0.208,remonstrate,0.061,breed,0.066,besiege,0.128,administer,0.040,quote,0.187,reinforce,0.142,succumb,0.024,oblige,0.065,privilege,0.036
exempt,0.208,accede,0.061,fast,0.066,precede,0.128,impart,0.040,induce,0.187,doom,0.142,intensify,0.024,appoint,0.065,return,0.036
fathom,0.207,clasp,0.061,bin,0.066,penetrate,0.128,trace,0.040,refine,0.187,canton,0.142,cannon,0.024,plat,0.065,meddle,0.036
temper,0.207,bewilder,0.061,embroider,0.066,discover,0.128,joke,0.040,brood,0.187,vein,0.142,reinstate,0.024,intrude,0.065,frost,0.036
oblige,0.207,seed,0.061,influence,0.066,utter,0.128,overrun,0.040,situate,0.187,rhyme,0.142,contract,0.024,suppose,0.065,muffle,0.036
execute,0.207,impel,0.061,request,0.066,defile,0.127,depose,0.039,heed,0.186,persuade,0.141,enlist,0.024,reckon,0.065,confess,0.036
address,0.207,reassure,0.061,spirit,0.066,decrease,0.127,import,0.039,manufacture,0.186,defile,0.141,precipitate,0.023,reproach,0.065,play,0.036
succeed,0.207,author,0.061,damage,0.066,pioneer,0.127,pole,0.039,grant,0.186,characterize,0.141,emigrate,0.023,clothe,0.065,convulse,0.036
appoint,0.207,intoxicate,0.061,hamper,0.066,disclose,0.127,shock,0.039,damp,0.186,contend,0.141,dawn,0.023,affix,0.065,extinguish,0.036
drench,0.207,depress,0.061,remind,0.066,hew,0.127,crew,0.039,distinguish,0.186,value,0.141,dishearten,0.023,prolong,0.065,tax,0.036
publish,0.207,furrow,0.061,pace,0.066,frighten,0.127,fence,0.039,strive,0.186,sacrifice,0.141,dun,0.023,rhyme,0.065,sear,0.036
welsh,0.206,consign,0.061,grade,0.066,dispense,0.127,arise,0.039,swell,0.186,substitute,0.141,affect,0.023,promulgate,0.065,laud,0.036
baffle,0.206,amuse,0.061,sit,0.066,cheat,0.127,recount,0.039,thwart,0.185,pelt,0.141,inflict,0.023,wine,0.065,pledge,0.036
remain,0.206,account,0.061,differ,0.065,amuse,0.127,rob,0.039,smite,0.185,droop,0.141,rout,0.023,besiege,0.065,disorder,0.036
illustrate,0.206,whirl,0.061,nominate,0.065,shorten,0.127,submit,0.039,chamber,0.185,resolve,0.141,gratify,0.023,reign,0.065,quarrel,0.036
spoil,0.206,doctor,0.061,effect,0.065,moor,0.127,repress,0.039,account,0.185,tint,0.141,insure,0.023,shudder,0.065,home,0.036
lend,0.206,transmit,0.061,plan,0.065,plead,0.127,praise,0.039,effect,0.185,stave,0.141,frank,0.023,gallop,0.065,intoxicate,0.036
voice,0.206,assign,0.061,descend,0.065,aggregate,0.127,clamber,0.039,scotch,0.185,augment,0.141,reappear,0.023,grant,0.065,pit,0.036
defile,0.206,hunt,0.061,escort,0.065,sup,0.127,boast,0.039,trample,0.185,massacre,0.141,graduate,0.023,denounce,0.065,wine,0.036
menace,0.206,perfect,0.061,trademark,0.065,discontent,0.127,appeal,0.039,tax,0.184,err,0.141,hill,0.023,increase,0.065,wive,0.036
curse,0.206,sojourn,0.061,glaze,0.065,ebb,0.127,yield,0.039,denounce,0.184,muffle,0.141,strand,0.022,aggregate,0.065,devise,0.036
ply,0.206,ridge,0.061,cut,0.065,swell,0.127,ripen,0.039,mend,0.184,shroud,0.141,pearl,0.022,conquer,0.065,inspire,0.036
waver,0.205,doom,0.061,scar,0.065,bequeath,0.127,wave,0.039,scorch,0.184,devote,0.141,trickle,0.022,conclude,0.064,reproach,0.036
deny,0.205,decay,0.061,crush,0.065,originate,0.127,haul,0.039,dismiss,0.183,profit,0.141,soften,0.022,consist,0.064,nominate,0.036
profess,0.205,demonstrate,0.061,ride,0.065,transmit,0.127,hawk,0.039,waft,0.183,suggest,0.141,contribute,0.022,clatter,0.064,reform,0.036
amuse,0.205,flicker,0.061,see,0.065,certify,0.127,strive,0.039,wag,0.183,stag,0.141,shudder,0.022,affirm,0.064,incur,0.036
repress,0.205,reward,0.061,church,0.065,shriek,0.127,scour,0.039,suspend,0.183,subscribe,0.141,rage,0.022,induce,0.064,recur,0.036
decay,0.205,afflict,0.061,sight,0.065,defy,0.127,preclude,0.039,quench,0.183,foster,0.141,heal,0.022,indulge,0.064,promulgate,0.036
till,0.205,bespeak,0.060,receipt,0.065,alight,0.127,suffer,0.039,emit,0.183,commission,0.141,plead,0.022,voyage,0.064,crave,0.036
dash,0.205,rescue,0.060,regret,0.065,consign,0.127,groan,0.038,fade,0.183,enforce,0.140,vindicate,0.022,betroth,0.064,invoke,0.036
spear,0.205,embody,0.060,pink,0.065,discourse,0.127,flog,0.038,shipwreck,0.182,deserve,0.140,celebrate,0.022,cock,0.064,estimate,0.035
contest,0.205,exult,0.060,crash,0.065,confide,0.127,paddle,0.038,condition,0.182,precede,0.140,sex,0.022,disclose,0.064,succeed,0.035
boil,0.204,nourish,0.060,crackle,0.065,whiten,0.126,drag,0.038,sacrifice,0.182,settle,0.140,convict,0.021,divert,0.064,heed,0.035
subscribe,0.204,defile,0.060,offer,0.065,facilitate,0.126,retreat,0.038,invite,0.182,throb,0.140,enrich,0.021,ordain,0.064,dissatisfy,0.035
dignify,0.204,sneer,0.060,keep,0.065,profit,0.126,widen,0.038,pluck,0.181,illustrate,0.140,droop,0.021,condemn,0.064,invest,0.035
reject,0.204,fascinate,0.060,explore,0.065,contract,0.126,enable,0.038,defy,0.181,annex,0.140,slat,0.021,dine,0.064,afflict,0.035
assert,0.204,impeach,0.060,scheme,0.065,disorder,0.126,consign,0.038,narrate,0.181,caress,0.140,crown,0.021,divine,0.064,rush,0.035
premier,0.203,cotton,0.060,strike,0.064,bid,0.126,frighten,0.038,wrinkle,0.181,woo,0.140,widow,0.021,cling,0.064,unveil,0.035
mantle,0.203,value,0.060,embarrass,0.064,tempt,0.126,stoop,0.038,thrust,0.181,awaken,0.140,soothe,0.021,chime,0.064,forgive,0.035
steamer,0.203,acquaint,0.060,reflect,0.064,revenge,0.126,repose,0.038,export,0.180,enumerate,0.140,surrender,0.021,mother,0.064,flatter,0.035
prosecute,0.203,taper,0.060,subscribe,0.064,recall,0.126,deprive,0.038,dissipate,0.180,brim,0.140,queen,0.021,decree,0.064,brigade,0.035
eclipse,0.203,reform,0.060,crew,0.064,afflict,0.126,tarry,0.038,muster,0.180,retort,0.140,conceal,0.021,impregnate,0.064,parch,0.035
forgive,0.202,retain,0.060,load,0.064,redden,0.126,gin,0.038,reclaim,0.180,author,0.140,ransom,0.021,perfect,0.064,flank,0.035
blight,0.202,abate,0.060,mount,0.064,relieve,0.126,precede,0.038,revolve,0.180,inspire,0.140,bronze,0.021,owe,0.064,relieve,0.035
oppress,0.202,secure,0.060,retrieve,0.064,volunteer,0.126,circulate,0.038,quell,0.180,insist,0.140,boil,0.021,castle,0.064,concede,0.035
wail,0.202,furnish,0.060,study,0.064,extricate,0.126,induce,0.038,emancipate,0.180,inflict,0.140,illuminate,0.021,obey,0.064,smelt,0.035
chap,0.202,frighten,0.060,impact,0.064,envy,0.126,affect,0.038,dispose,0.180,shorten,0.140,inculcate,0.021,sear,0.064,denounce,0.035
preach,0.202,corroborate,0.060,talk,0.064,situate,0.126,build,0.038,gore,0.180,consign,0.139,manufacture,0.021,shanghai,0.064,provoke,0.035
breeze,0.202,trouble,0.060,blossom,0.064,stray,0.126,investigate,0.038,corrupt,0.179,digest,0.139,hesitate,0.021,chafe,0.064,envy,0.035
characterize,0.202,inscribe,0.060,buck,0.064,exert,0.126,premise,0.038,enable,0.179,affect,0.139,translate,0.021,stagger,0.064,associate,0.035
discover,0.202,falter,0.060,blast,0.064,affix,0.126,besiege,0.038,overtake,0.179,succeed,0.139,trip,0.021,conform,0.064,dissent,0.035
contrast,0.202,suspend,0.060,character,0.064,embody,0.126,murder,0.038,vein,0.179,corroborate,0.139,multiply,0.021,divide,0.063,boil,0.035
mark,0.202,trickle,0.060,assemble,0.064,embroider,0.126,extricate,0.038,fund,0.179,flatter,0.139,plot,0.021,bid,0.063,sacrifice,0.035
brood,0.202,wail,0.060,decay,0.064,lord,0.126,proceed,0.038,nourish,0.179,fund,0.139,vary,0.021,hedge,0.063,preside,0.035
pierce,0.202,conceive,0.060,reform,0.064,stalk,0.126,knock,0.038,conduct,0.179,spur,0.139,moor,0.021,disorder,0.063,bustle,0.035
reinstate,0.201,interpose,0.060,approach,0.064,condition,0.126,preserve,0.038,inspire,0.178,wring,0.139,spear,0.020,culminate,0.063,divert,0.035
enclose,0.201,diminish,0.060,duck,0.064,dilate,0.126,par,0.038,regard,0.178,reside,0.139,flesh,0.020,shipwreck,0.063,infect,0.035
dismiss,0.201,throng,0.060,practice,0.063,relate,0.126,eclipse,0.038,differ,0.178,sparkle,0.139,hush,0.020,exclaim,0.063,eagle,0.035
quell,0.201,illustrate,0.060,shout,0.063,enumerate,0.126,fancy,0.038,widow,0.178,whip,0.139,unfold,0.020,depress,0.063,yoke,0.035
envelop,0.200,shed,0.060,hill,0.063,distrust,0.126,smuggle,0.038,testify,0.178,sneer,0.139,consider,0.020,reside,0.063,pinch,0.035
intrude,0.200,eye,0.060,powder,0.063,excel,0.126,suffice,0.038,institute,0.178,guess,0.139,save,0.020,bless,0.063,dedicate,0.035
scribe,0.200,belt,0.060,observe,0.063,wail,0.126,tap,0.038,thunder,0.178,dilate,0.139,miss,0.020,vent,0.063,culminate,0.035
remind,0.200,reconcile,0.060,surround,0.063,deny,0.126,flag,0.037,embroider,0.177,rise,0.139,vent,0.020,blot,0.063,owe,0.035
acknowledge,0.200,hedge,0.060,damp,0.063,stag,0.126,ascertain,0.037,absent,0.177,glitter,0.139,sacrifice,0.020,thrust,0.063,attest,0.035
alight,0.200,dun,0.060,article,0.063,enlarge,0.126,sever,0.037,perpetuate,0.177,overpower,0.139,tune,0.020,reject,0.063,well,0.035
thatch,0.200,curl,0.060,curb,0.063,expose,0.126,enchant,0.037,bud,0.177,dispense,0.139,groan,0.020,bind,0.063,conform,0.035
divide,0.200,torture,0.059,deal,0.063,flog,0.125,watch,0.037,convene,0.177,damp,0.139,accurse,0.020,sacrifice,0.063,suppose,0.035
heal,0.200,slat,0.059,preclude,0.063,charm,0.125,pack,0.037,compose,0.177,nominate,0.139,proceed,0.020,deprecate,0.063,negotiate,0.035
whirl,0.200,impute,0.059,submit,0.063,abstain,0.125,ford,0.037,oblige,0.177,defy,0.139,export,0.020,humble,0.063,dream,0.035
repudiate,0.200,boast,0.059,bolt,0.063,migrate,0.125,chamber,0.037,depress,0.177,devise,0.139,endeavor,0.020,support,0.063,hope,0.035
prompt,0.199,inflame,0.059,menace,0.063,throng,0.125,assure,0.037,throb,0.177,scorch,0.139,warehouse,0.020,rival,0.063,spell,0.035
soothe,0.199,subjoin,0.059,voice,0.063,underlie,0.125,dance,0.037,mass,0.176,persevere,0.138,dream,0.020,alight,0.063,obscure,0.035
appeal,0.199,ascend,0.059,spring,0.063,proclaim,0.125,impoverish,0.037,soar,0.176,bud,0.138,wrinkle,0.020,fasten,0.063,wink,0.035
rout,0.199,peruse,0.059,emerge,0.063,augment,0.125,reinstate,0.037,espouse,0.176,soar,0.138,acquire,0.020,contrast,0.063,settle,0.035
rivet,0.199,dissolve,0.059,suspect,0.063,rhyme,0.125,receipt,0.037,cost,0.176,clatter,0.138,thwart,0.019,tenant,0.063,neglect,0.035
extend,0.198,heighten,0.059,intervene,0.063,degrade,0.125,troop,0.037,clothe,0.175,represent,0.138,plunge,0.019,influence,0.063,bloom,0.035
knight,0.198,blot,0.059,sex,0.063,inhabit,0.125,originate,0.037,enslave,0.175,rebel,0.138,mortify,0.019,officiate,0.063,fortify,0.035
plead,0.198,prompt,0.059,contemplate,0.063,propose,0.125,arm,0.037,embody,0.175,rein,0.138,invest,0.019,preside,0.063,assign,0.035
widen,0.198,grudge,0.059,chase,0.063,indulge,0.125,hesitate,0.037,send,0.175,liberate,0.138,blaze,0.019,indict,0.063,deserve,0.035
widow,0.198,perch,0.059,welcome,0.063,send,0.125,stir,0.037,praise,0.175,coil,0.138,compass,0.019,inflict,0.063,reef,0.035
honor,0.198,ordain,0.059,bank,0.062,revive,0.125,voyage,0.037,intersect,0.175,grant,0.138,differ,0.019,agitate,0.063,swell,0.035
discipline,0.198,realize,0.059,speak,0.062,enrich,0.125,chime,0.037,hedge,0.174,dazzle,0.138,fire,0.019,brigade,0.063,approve,0.034
translate,0.198,encircle,0.059,head,0.062,recite,0.125,lament,0.037,ransom,0.174,insure,0.138,clothe,0.019,curl,0.063,establish,0.034
dictate,0.198,devour,0.059,upgrade,0.062,falter,0.125,covet,0.037,nod,0.174,preach,0.138,winter,0.019,frank,0.063,remit,0.034
smelt,0.198,lamb,0.059,shine,0.062,condescend,0.124,file,0.037,patent,0.174,powder,0.137,impute,0.019,pinch,0.062,exalt,0.034
iron,0.197,shoot,0.059,coat,0.062,append,0.124,gleam,0.037,bush,0.173,undergo,0.137,kill,0.019,bosom,0.062,report,0.034
disorder,0.197,quicken,0.059,confuse,0.062,seel,0.124,protest,0.037,stagger,0.173,suspend,0.137,thunder,0.019,moor,0.062,worry,0.034
wonder,0.197,suspect,0.059,moonlight,0.062,indict,0.124,predominate,0.037,boil,0.173,elect,0.137,recommend,0.019,commission,0.062,sadden,0.034
bury,0.197,joke,0.059,lurk,0.062,soar,0.124,shield,0.037,anchor,0.173,repeat,0.137,reef,0.019,mourn,0.062,borrow,0.034
constitute,0.197,abound,0.059,close,0.062,grade,0.124,deploy,0.037,recount,0.173,allow,0.137,invent,0.019,resist,0.062,overrun,0.034
incite,0.197,distance,0.059,forward,0.062,reckon,0.124,prompt,0.037,relapse,0.172,condemn,0.137,send,0.019,contribute,0.062,cleave,0.034
defy,0.197,befit,0.059,band,0.062,regard,0.124,damage,0.037,compound,0.172,commend,0.137,dissolve,0.019,oust,0.062,trample,0.034
whiten,0.197,conclude,0.059,chime,0.062,spark,0.124,measure,0.037,anoint,0.172,endow,0.137,tear,0.019,quench,0.062,wake,0.034
rival,0.196,salute,0.059,arm,0.062,assure,0.124,decorate,0.037,disclose,0.172,grumble,0.137,pelt,0.019,corroborate,0.062,tremble,0.034
lament,0.196,situate,0.059,export,0.062,laud,0.124,decree,0.036,mention,0.172,append,0.137,ally,0.019,widen,0.062,send,0.034
insist,0.196,retreat,0.059,strip,0.062,waft,0.124,anchor,0.036,blockade,0.172,speculate,0.136,kindle,0.019,furrow,0.062,excavate,0.034
praise,0.196,boil,0.059,doubt,0.062,intoxicate,0.124,hurl,0.036,laud,0.172,pronounce,0.136,woo,0.019,consolidate,0.062,garden,0.034
induce,0.196,mend,0.059,storm,0.062,manifest,0.124,mature,0.036,devour,0.172,convict,0.136,stay,0.019,manifest,0.062,disperse,0.034
devolve,0.196,diffuse,0.059,contradict,0.062,induce,0.124,rake,0.036,moor,0.172,trust,0.136,depress,0.019,liberate,0.062,amaze,0.034
fascinate,0.196,tide,0.059,saw,0.062,scatter,0.124,procure,0.036,relieve,0.171,execute,0.136,frighten,0.019,discourse,0.062,obstruct,0.034
confide,0.196,tap,0.059,interpret,0.062,spy,0.124,manifest,0.036,rank,0.171,assassinate,0.136,illustrate,0.019,verify,0.062,captain,0.034
digest,0.196,wend,0.059,number,0.062,allege,0.124,salute,0.036,recommend,0.171,flush,0.136,situate,0.018,stain,0.062,seed,0.034
figure,0.196,rivet,0.058,divorce,0.062,church,0.124,harass,0.036,buoy,0.171,weigh,0.136,shiver,0.018,agree,0.062,rave,0.034
understand,0.196,instruct,0.058,mother,0.062,berth,0.124,sacrifice,0.036,recess,0.171,deafen,0.136,drift,0.018,curse,0.062,grope,0.034
solicit,0.196,defray,0.058,lamb,0.062,quiver,0.124,fork,0.036,rat,0.171,lend,0.136,harden,0.018,possess,0.062,apprehend,0.034
laud,0.195,reference,0.058,blame,0.062,slat,0.124,solicit,0.036,entangle,0.171,radiate,0.136,dwindle,0.018,abridge,0.062,spur,0.034
edit,0.195,practice,0.058,rid,0.062,gin,0.124,board,0.036,surge,0.171,usurp,0.136,falter,0.018,bloom,0.062,baptize,0.034
enforce,0.195,blacken,0.058,extort,0.062,bell,0.124,quarter,0.036,glide,0.171,resent,0.136,intoxicate,0.018,deprive,0.062,drift,0.034
embattle,0.195,enlarge,0.058,top,0.062,finance,0.124,bark,0.036,devise,0.171,toll,0.136,defile,0.018,scheme,0.062,seel,0.034
assay,0.195,wilt,0.058,corroborate,0.062,stow,0.124,crush,0.036,bloom,0.171,anoint,0.136,pursue,0.018,indicate,0.062,moor,0.034
dot,0.195,marry,0.058,league,0.062,tramp,0.124,launch,0.036,tint,0.170,spirit,0.136,desire,0.018,crumble,0.062,compose,0.034
doubt,0.195,guard,0.058,classify,0.062,lull,0.124,attract,0.036,guess,0.170,discipline,0.135,tan,0.018,regard,0.062,falter,0.034
gore,0.195,divert,0.058,clasp,0.062,corrupt,0.124,confess,0.036,engrave,0.170,bribe,0.135,plan,0.018,recognize,0.062,corrupt,0.034
emancipate,0.195,page,0.058,object,0.062,cling,0.123,concur,0.036,restructure,0.170,tack,0.135,brigade,0.018,tender,0.061,affix,0.034
mangle,0.195,enjoy,0.058,print,0.062,kindle,0.123,impregnate,0.036,traverse,0.170,infuse,0.135,fast,0.018,sadden,0.061,stagger,0.034
mistake,0.195,resent,0.058,advance,0.062,brigade,0.123,admit,0.036,reinstate,0.170,lull,0.135,defend,0.018,discover,0.061,stable,0.034
estimate,0.194,seel,0.058,execute,0.061,succeed,0.123,moon,0.036,battle,0.170,mangle,0.135,rule,0.018,pay,0.061,suspect,0.034
debate,0.194,discourse,0.058,impeach,0.061,mortify,0.123,lash,0.036,reckon,0.170,taper,0.135,race,0.017,fail,0.061,divine,0.034
blush,0.194,roar,0.058,felt,0.061,represent,0.123,seed,0.036,strangle,0.169,depend,0.135,temper,0.017,subordinate,0.061,punish,0.034
relieve,0.194,gap,0.058,curl,0.061,irrigate,0.123,deserve,0.036,compare,0.169,denounce,0.135,lull,0.017,spare,0.061,thwart,0.034
civilize,0.194,knight,0.058,shave,0.061,repudiate,0.123,feather,0.036,pelt,0.169,shiver,0.135,throb,0.017,expect,0.061,intersperse,0.034
alter,0.194,access,0.058,huddle,0.061,daunt,0.123,bell,0.035,tenant,0.169,incite,0.135,regulate,0.017,mend,0.061,dash,0.034
decline,0.194,overrun,0.058,patent,0.061,vow,0.123,horse,0.035,revolt,0.169,extend,0.135,ditto,0.017,amuse,0.061,bosom,0.034
disperse,0.194,exploit,0.058,muster,0.061,wilt,0.123,undergo,0.035,commit,0.169,narrate,0.135,appeal,0.017,chamber,0.061,greet,0.034
refine,0.194,mourn,0.058,caution,0.061,hiss,0.123,sling,0.035,drown,0.169,resist,0.135,beset,0.017,suppress,0.061,shorten,0.034
overrule,0.194,benefit,0.058,course,0.061,equal,0.123,neglect,0.035,salute,0.169,summit,0.135,disorder,0.017,adore,0.061,befall,0.034
quarry,0.194,scatter,0.058,silver,0.061,rent,0.123,contribute,0.035,resent,0.169,hail,0.134,color,0.017,suggest,0.061,weigh,0.034
remember,0.194,augment,0.058,wax,0.061,vein,0.123,post,0.035,deposit,0.168,displease,0.134,yearn,0.017,assay,0.061,charter,0.034
convulse,0.194,quench,0.058,fancy,0.061,obliterate,0.123,downgrade,0.035,contract,0.168,ping,0.134,marry,0.017,divest,0.061,term,0.034
ache,0.193,tarry,0.058,braid,0.061,diffuse,0.123,adore,0.035,publish,0.168,vow,0.134,profess,0.017,lave,0.061,sprinkle,0.034
illuminate,0.193,stunt,0.058,sadden,0.061,char,0.123,slash,0.035,assail,0.168,spy,0.134,influence,0.017,rage,0.061,ting,0.034
commemorate,0.193,utter,0.058,front,0.061,hire,0.123,stave,0.035,chafe,0.168,vindicate,0.134,dam,0.017,annex,0.061,overthrow,0.034
coincide,0.193,fund,0.058,crow,0.061,denounce,0.123,gear,0.035,scar,0.168,restore,0.134,arouse,0.017,pervert,0.061,throng,0.034
chamber,0.193,par,0.058,create,0.061,graduate,0.122,discourse,0.035,shorten,0.168,impeach,0.134,laud,0.016,emancipate,0.061,subscribe,0.034
clatter,0.193,register,0.058,stud,0.061,inflict,0.122,reprint,0.035,lull,0.168,yearn,0.134,sear,0.016,graduate,0.061,weaken,0.034
retake,0.193,profess,0.057,benefit,0.061,amend,0.122,captain,0.035,concur,0.168,knight,0.134,exclaim,0.016,endeavor,0.061,pry,0.034
revolt,0.193,apprehend,0.057,dine,0.061,doubt,0.122,fowl,0.035,displace,0.168,sin,0.134,blockade,0.016,amaze,0.061,widen,0.034
sever,0.193,round,0.057,root,0.061,join,0.122,arouse,0.035,evacuate,0.168,bet,0.134,recover,0.016,loosen,0.061,identify,0.034
extract,0.193,stow,0.057,rig,0.061,bleed,0.122,bar,0.035,entitle,0.168,recognize,0.134,sun,0.016,characterize,0.061,nod,0.033
absent,0.193,adhere,0.057,participate,0.061,acquaint,0.122,bound,0.035,extract,0.168,recover,0.134,conform,0.016,purify,0.061,trot,0.033
combine,0.193,chafe,0.057,crowd,0.061,extract,0.122,rent,0.035,pray,0.168,comply,0.134,plunder,0.016,spirit,0.061,dun,0.033
invent,0.193,extinguish,0.057,lace,0.061,transact,0.122,murmur,0.035,concede,0.167,agree,0.134,bargain,0.016,inaugurate,0.061,bottle,0.033
convey,0.193,wrest,0.057,ding,0.061,prosecute,0.122,author,0.035,reelect,0.167,drip,0.134,shipwreck,0.016,acquire,0.061,confide,0.033
testify,0.192,ascertain,0.057,brief,0.061,brand,0.122,baptize,0.035,blight,0.167,glory,0.134,ennoble,0.016,obliterate,0.061,plan,0.033
meddle,0.192,dispatch,0.057,pride,0.061,boil,0.122,trade,0.035,forget,0.167,frank,0.133,free,0.016,refrain,0.061,value,0.033
establish,0.192,assure,0.057,spike,0.061,fair,0.122,survey,0.035,solicit,0.167,introduce,0.133,sail,0.016,overwhelm,0.061,enchant,0.033
poise,0.192,wag,0.057,flow,0.061,web,0.122,hint,0.035,ripple,0.167,hesitate,0.133,awaken,0.016,excuse,0.061,obey,0.033
contend,0.192,precede,0.057,discover,0.061,murmur,0.122,suit,0.035,culminate,0.167,denote,0.133,flit,0.016,invent,0.061,retort,0.033
amount,0.192,share,0.057,exhibit,0.060,gall,0.122,deprecate,0.035,church,0.167,originate,0.133,inspire,0.016,convene,0.061,frighten,0.033
conceal,0.192,betroth,0.057,charm,0.060,savage,0.122,print,0.035,finance,0.167,stalk,0.133,bell,0.016,baptize,0.061,abstain,0.033
persevere,0.192,downgrade,0.057,credit,0.060,groan,0.122,suspect,0.035,moon,0.166,join,0.133,humble,0.016,hew,0.061,despair,0.033
sense,0.192,alight,0.057,trust,0.060,perplex,0.122,report,0.035,welsh,0.166,copper,0.133,characterize,0.016,frighten,0.061,envelop,0.033
satisfy,0.192,rein,0.057,uncover,0.060,verse,0.122,stoke,0.034,trickle,0.166,insinuate,0.133,constitute,0.016,identify,0.061,boot,0.033
allege,0.192,skirmish,0.057,result,0.060,dedicate,0.122,phrase,0.034,sob,0.166,curse,0.133,quell,0.016,adhere,0.061,anoint,0.033
plot,0.192,blight,0.057,finish,0.060,flit,0.122,garden,0.034,purify,0.166,sever,0.133,undulate,0.015,restore,0.061,repeat,0.033
roar,0.191,inhabit,0.057,lounge,0.060,rustle,0.122,cloud,0.034,soften,0.165,lord,0.133,list,0.015,persevere,0.061,clothe,0.033
denounce,0.191,jam,0.057,march,0.060,sole,0.122,surmise,0.034,fuse,0.165,evacuate,0.133,substitute,0.015,trample,0.061,din,0.033
hew,0.191,publish,0.057,steal,0.060,agitate,0.122,reproach,0.034,writhe,0.165,brood,0.133,classify,0.015,subscribe,0.061,vent,0.033
differ,0.191,weaken,0.057,recover,0.060,affect,0.122,summon,0.034,rein,0.165,revolt,0.133,rice,0.015,damp,0.061,spare,0.033
overcome,0.191,achieve,0.057,pinch,0.060,verify,0.122,plead,0.034,affect,0.165,verse,0.133,copper,0.015,endorse,0.060,acquit,0.033
oust,0.191,deem,0.057,aggregate,0.060,channel,0.122,constitute,0.034,connect,0.165,beget,0.132,seal,0.015,proceed,0.060,terrify,0.033
cleanse,0.191,affirm,0.057,bridge,0.060,prolong,0.122,abuse,0.034,alight,0.165,expense,0.132,stroke,0.015,deny,0.060,shriek,0.033
strive,0.191,purpose,0.057,blush,0.060,spur,0.121,qualify,0.034,represent,0.165,moderate,0.132,poison,0.015,sanction,0.060,patent,0.033
lengthen,0.191,smelt,0.057,perch,0.060,claim,0.121,ting,0.034,tempt,0.164,quicken,0.132,bosom,0.015,stalk,0.060,endear,0.033
hollow,0.191,reproach,0.057,overturn,0.060,hum,0.121,glitter,0.034,hoist,0.164,compose,0.132,muffle,0.015,depend,0.060,acknowledge,0.033
