use 1987,,use rcv1,,use trc2
match,0.068,cotton,0.017,listen,0.078
note,0.068,tree,0.017,garden,0.078
cross,0.068,address,0.017,explain,0.078
subside,0.068,tackle,0.017,revert,0.078
chair,0.068,manage,0.017,confess,0.078
perform,0.068,heed,0.017,bow,0.078
endow,0.068,brand,0.017,darken,0.078
file,0.068,totter,0.017,manifest,0.078
confirm,0.068,sing,0.017,target,0.078
convulse,0.068,grey,0.017,warm,0.078
mill,0.067,flood,0.017,focus,0.078
brim,0.067,clerk,0.017,fare,0.078
push,0.067,adjourn,0.017,cast,0.078
launch,0.067,wade,0.017,queen,0.078
avail,0.067,card,0.017,battle,0.078
discount,0.067,clothe,0.017,storm,0.078
monitor,0.067,coin,0.017,utter,0.078
stumble,0.067,insist,0.016,trace,0.077
react,0.067,breed,0.016,borrow,0.077
brigade,0.067,worry,0.016,haul,0.077
stipulate,0.067,predict,0.016,extinguish,0.077
trample,0.067,page,0.016,wait,0.077
neglect,0.067,storm,0.016,mock,0.077
howl,0.067,disband,0.016,persecute,0.077
fringe,0.067,wink,0.016,deepen,0.077
reduce,0.067,steer,0.016,flatter,0.077
enact,0.067,fathom,0.016,irritate,0.077
desire,0.067,plunge,0.016,intend,0.077
peep,0.067,weather,0.016,shroud,0.077
avert,0.067,adjust,0.016,follow,0.077
boom,0.067,furnish,0.016,whirl,0.077
forge,0.067,ping,0.016,char,0.077
affirm,0.067,awe,0.016,consist,0.077
sling,0.067,wan,0.016,figure,0.077
ally,0.067,advertise,0.016,hail,0.077
disappoint,0.067,serve,0.016,clear,0.077
extract,0.067,horse,0.016,communicate,0.077
service,0.067,commemorate,0.016,carry,0.077
beach,0.066,praise,0.015,air,0.077
incur,0.066,hop,0.015,message,0.076
request,0.066,examine,0.015,leave,0.076
need,0.066,reign,0.015,balance,0.076
remember,0.066,japan,0.015,chill,0.076
lead,0.066,prowl,0.015,concentrate,0.076
equal,0.066,ridge,0.015,drive,0.076
contemplate,0.066,crop,0.015,phrase,0.076
withhold,0.066,brush,0.015,exist,0.076
saturate,0.066,trade,0.015,shop,0.076
guard,0.066,bore,0.015,record,0.076
fret,0.066,exemplify,0.015,embarrass,0.076
demand,0.066,arouse,0.015,ruin,0.076
dominate,0.066,forward,0.015,mean,0.076
exchange,0.066,sting,0.015,bay,0.076
overhang,0.066,stay,0.015,decorate,0.076
illustrate,0.066,sparkle,0.015,raise,0.076
ship,0.066,fold,0.015,nurse,0.076
branch,0.066,deduce,0.015,convey,0.076
view,0.066,expose,0.015,vary,0.076
transact,0.066,tell,0.015,distrust,0.076
cheer,0.066,comfort,0.015,divine,0.076
act,0.066,coincide,0.015,flow,0.076
testify,0.066,recite,0.015,arm,0.075
tell,0.066,moonlight,0.015,thrill,0.075
beset,0.066,boat,0.015,change,0.075
fashion,0.066,persist,0.015,schedule,0.075
let,0.066,relate,0.015,vest,0.075
downgrade,0.066,stifle,0.015,tan,0.075
raid,0.066,underlie,0.015,object,0.075
frame,0.066,tint,0.014,endeavor,0.075
mount,0.066,lapse,0.014,surface,0.075
emancipate,0.066,render,0.014,retail,0.075
strive,0.066,grant,0.014,render,0.075
din,0.066,lumber,0.014,switch,0.075
catch,0.066,dawn,0.014,insinuate,0.075
adduce,0.066,recess,0.014,relax,0.074
spread,0.066,stretch,0.014,stoop,0.074
tune,0.066,slip,0.014,involve,0.074
nourish,0.066,suffice,0.014,stream,0.074
follow,0.066,spirit,0.014,wind,0.074
slip,0.066,power,0.014,stay,0.074
seek,0.065,awaken,0.014,designate,0.074
consider,0.065,smash,0.014,gentle,0.074
do,0.065,initiate,0.014,pal,0.074
examine,0.065,band,0.014,complicate,0.074
glide,0.065,end,0.014,turn,0.074
charge,0.065,care,0.014,price,0.074
bargain,0.065,water,0.014,book,0.074
consign,0.065,deal,0.014,bird,0.074
flow,0.065,confess,0.014,rail,0.074
process,0.065,learn,0.014,contrast,0.074
weave,0.065,humble,0.014,disappoint,0.074
rag,0.065,appear,0.014,exclaim,0.074
speed,0.065,prove,0.014,cut,0.074
injure,0.065,behave,0.014,wash,0.074
post,0.065,indulge,0.014,profess,0.074
highlight,0.065,cough,0.014,fruit,0.074
buck,0.065,subordinate,0.014,identify,0.073
fend,0.065,time,0.014,regard,0.073
embark,0.065,whip,0.014,bloom,0.073
protect,0.065,survive,0.014,temper,0.073
swing,0.065,eclipse,0.014,iron,0.073
slight,0.065,regard,0.013,retake,0.073
plot,0.065,bolt,0.013,impart,0.073
compile,0.065,mouth,0.013,push,0.073
lean,0.065,befall,0.013,tenant,0.073
grey,0.065,rustle,0.013,ruffle,0.073
assign,0.065,rope,0.013,retrieve,0.073
last,0.065,hill,0.013,perch,0.073
knot,0.065,spin,0.013,hint,0.073
gate,0.065,bosom,0.013,grasp,0.073
enrich,0.065,shelter,0.013,condition,0.073
arm,0.065,notice,0.013,water,0.073
succeed,0.065,secure,0.013,consume,0.073
char,0.065,dangle,0.013,give,0.073
track,0.065,bargain,0.013,skip,0.073
slide,0.065,persevere,0.013,offer,0.073
find,0.065,descend,0.013,shade,0.073
combine,0.065,spare,0.013,throne,0.072
steer,0.065,deter,0.013,compel,0.072
reflect,0.065,reclaim,0.013,foul,0.072
baffle,0.065,grow,0.013,banish,0.072
estimate,0.064,flare,0.013,own,0.072
ennoble,0.064,garden,0.013,labor,0.072
steam,0.064,treat,0.013,surmise,0.072
beam,0.064,cap,0.013,lighten,0.072
move,0.064,enter,0.013,fall,0.072
dangle,0.064,warm,0.012,distress,0.072
dig,0.064,shrug,0.012,hurt,0.072
bless,0.064,sketch,0.012,befall,0.072
pal,0.064,grade,0.012,lapse,0.072
issue,0.064,slight,0.012,total,0.072
spin,0.064,rule,0.012,mar,0.072
pose,0.064,exhibit,0.012,allow,0.072
stride,0.064,couple,0.012,toy,0.072
doom,0.064,owe,0.012,list,0.072
phrase,0.064,speak,0.012,steer,0.072
rail,0.064,enact,0.012,pledge,0.071
inscribe,0.064,fear,0.012,enjoy,0.071
grant,0.064,steam,0.012,result,0.071
feel,0.064,blossom,0.012,crave,0.071
delegate,0.064,verify,0.012,treat,0.071
visit,0.064,arrange,0.012,furnish,0.071
challenge,0.064,rob,0.012,salute,0.071
twin,0.064,pull,0.012,play,0.071
wish,0.064,communicate,0.012,thunder,0.071
repress,0.064,miss,0.012,register,0.071
impede,0.064,dust,0.012,rebuild,0.071
star,0.064,right,0.012,stop,0.071
drench,0.064,seethe,0.012,cord,0.071
rid,0.064,dwindle,0.012,greet,0.071
mark,0.064,test,0.012,anticipate,0.071
listen,0.064,pass,0.012,ordain,0.071
distance,0.064,fight,0.012,connect,0.071
hurl,0.064,plant,0.012,lower,0.070
shorten,0.064,busy,0.012,remove,0.070
tone,0.064,ridicule,0.011,animate,0.070
hound,0.063,borrow,0.011,charter,0.070
bounce,0.063,glance,0.011,harvest,0.070
indulge,0.063,violate,0.011,prosecute,0.070
trust,0.063,chatter,0.011,coincide,0.070
mislead,0.063,tend,0.011,terrace,0.070
chase,0.063,ditto,0.011,resemble,0.070
punish,0.063,howl,0.011,earn,0.070
pluck,0.063,gaze,0.011,finish,0.070
skirt,0.063,scent,0.011,plant,0.070
corner,0.063,twin,0.011,climb,0.070
replace,0.063,twinkle,0.011,command,0.070
cough,0.063,spring,0.011,wish,0.070
blockade,0.063,steep,0.011,usurp,0.070
bosom,0.063,surround,0.011,host,0.070
splash,0.063,illustrate,0.011,sex,0.070
assassinate,0.063,defend,0.011,loiter,0.070
originate,0.063,linger,0.011,capture,0.070
liberate,0.063,relax,0.011,set,0.070
saw,0.063,recover,0.011,transmit,0.070
stamp,0.063,cannon,0.011,stride,0.070
involve,0.063,pertain,0.011,enlist,0.070
twist,0.063,obtain,0.011,buy,0.069
convey,0.063,bake,0.011,investigate,0.069
parallel,0.063,narrow,0.011,pardon,0.069
anchor,0.063,hay,0.011,die,0.069
summit,0.063,stick,0.011,teem,0.069
bereave,0.063,lavish,0.011,stall,0.069
stud,0.063,hunt,0.011,assume,0.069
worry,0.063,hit,0.010,frighten,0.069
wail,0.063,devote,0.010,relate,0.069
transmit,0.063,remit,0.010,endear,0.069
character,0.063,propagate,0.010,bribe,0.069
faint,0.063,string,0.010,parallel,0.069
divert,0.062,row,0.010,monitor,0.069
fear,0.062,ejaculate,0.010,till,0.069
group,0.062,skin,0.010,rave,0.069
consist,0.062,boast,0.010,invoke,0.069
fix,0.062,bet,0.010,yellow,0.069
revert,0.062,arm,0.010,absorb,0.069
set,0.062,total,0.010,dress,0.069
reference,0.062,dismay,0.010,accommodate,0.069
narrate,0.062,bark,0.010,heat,0.069
hem,0.062,convict,0.010,persuade,0.069
look,0.062,duck,0.010,react,0.069
bolt,0.062,echo,0.010,impair,0.068
overlook,0.062,prevail,0.010,beam,0.068
laud,0.062,extend,0.010,waste,0.068
rock,0.062,sympathize,0.010,impeach,0.068
balance,0.062,smooth,0.010,build,0.068
agree,0.062,grieve,0.010,shudder,0.068
precede,0.062,judge,0.010,modify,0.068
identify,0.062,ram,0.010,pink,0.068
approach,0.062,feel,0.010,express,0.068
captain,0.062,doubt,0.010,thatch,0.068
hit,0.062,conspire,0.010,pick,0.068
wink,0.062,protest,0.010,espouse,0.068
gap,0.062,beard,0.009,bleach,0.068
stunt,0.062,parade,0.009,shoot,0.068
sparkle,0.062,surface,0.009,struggle,0.068
crest,0.062,beat,0.009,scale,0.068
submit,0.062,describe,0.009,tone,0.068
extort,0.062,covet,0.009,circle,0.068
remonstrate,0.062,nourish,0.009,hand,0.068
chatter,0.062,exist,0.009,introduce,0.068
heighten,0.062,fell,0.009,roar,0.068
grip,0.062,cover,0.009,enact,0.068
muster,0.062,beset,0.009,arch,0.067
efface,0.062,fowl,0.009,whiten,0.067
say,0.062,castle,0.009,exhaust,0.067
soften,0.061,spot,0.009,combine,0.067
assent,0.061,ascertain,0.009,mix,0.067
crash,0.061,deck,0.009,chatter,0.067
sketch,0.061,wrap,0.009,sketch,0.067
tie,0.061,reveal,0.009,walk,0.067
resent,0.061,yell,0.009,grow,0.067
exult,0.061,brigade,0.009,prefer,0.067
climb,0.061,proclaim,0.009,breathe,0.067
shun,0.061,mark,0.009,market,0.067
suspect,0.061,impute,0.009,foot,0.067
glow,0.061,die,0.009,satisfy,0.067
facilitate,0.061,puff,0.009,grant,0.067
shroud,0.061,exclaim,0.009,chair,0.067
perpetuate,0.061,allege,0.009,shift,0.067
yoke,0.061,earn,0.008,confer,0.067
card,0.061,bustle,0.008,premier,0.066
crave,0.061,riot,0.008,overwhelm,0.066
dissipate,0.061,crack,0.008,leap,0.066
rise,0.061,polish,0.008,attack,0.066
focus,0.061,compromise,0.008,stumble,0.066
blot,0.061,appropriate,0.008,hill,0.066
rush,0.061,unload,0.008,consign,0.066
lavish,0.061,prejudice,0.008,desire,0.066
seat,0.061,fort,0.008,scent,0.066
elapse,0.061,surprise,0.008,covet,0.066
exhibit,0.061,style,0.008,harm,0.066
agitate,0.061,scale,0.008,reduce,0.066
bark,0.061,whistle,0.008,age,0.066
arch,0.061,write,0.008,converse,0.066
earn,0.061,elect,0.008,cultivate,0.066
elate,0.061,rear,0.008,jump,0.066
acquaint,0.061,like,0.008,date,0.066
irrigate,0.061,restrain,0.008,slop,0.066
predict,0.061,entrust,0.008,cross,0.066
exhaust,0.061,snow,0.008,hit,0.066
appear,0.061,inflict,0.008,bud,0.066
pull,0.061,lurk,0.008,seek,0.066
hat,0.061,despair,0.008,haunt,0.066
displace,0.060,use,0.008,ring,0.066
attack,0.060,spike,0.008,wander,0.066
assert,0.060,pace,0.008,avert,0.065
reckon,0.060,discount,0.007,discontent,0.065
locate,0.060,manifest,0.007,fend,0.065
flicker,0.060,enumerate,0.007,reelect,0.065
gaze,0.060,milk,0.007,scramble,0.065
speak,0.060,disapprove,0.007,judge,0.065
convert,0.060,maintain,0.007,knight,0.065
falter,0.060,paddle,0.007,wade,0.065
soar,0.060,update,0.007,strike,0.065
spy,0.060,kick,0.007,berth,0.065
scourge,0.060,lot,0.007,incorporate,0.065
author,0.060,rattle,0.007,winter,0.065
dilate,0.060,encourage,0.007,access,0.065
reinstate,0.060,fill,0.007,thirst,0.065
hoist,0.060,bang,0.007,board,0.065
warehouse,0.060,revolve,0.007,check,0.065
garden,0.060,result,0.007,enchant,0.065
mind,0.060,glare,0.007,rear,0.065
hand,0.060,feign,0.007,drench,0.065
sew,0.060,spoil,0.007,favor,0.065
gratify,0.060,congregate,0.007,verge,0.065
cord,0.060,sacrifice,0.007,neighbor,0.065
suppress,0.060,note,0.007,bind,0.065
load,0.060,shed,0.007,clamber,0.065
pronounce,0.060,endear,0.007,down,0.065
chronicle,0.060,resolve,0.007,defile,0.065
shade,0.060,realize,0.007,shrug,0.065
reserve,0.060,eye,0.007,hound,0.065
violate,0.060,murmur,0.007,bless,0.065
number,0.059,claim,0.007,deliver,0.065
volunteer,0.059,walk,0.007,substitute,0.064
range,0.059,overrun,0.007,fret,0.064
enforce,0.059,twist,0.007,key,0.064
descry,0.059,succeed,0.007,run,0.064
precipitate,0.059,spread,0.007,overrun,0.064
people,0.059,subject,0.007,shine,0.064
tint,0.059,expect,0.007,tint,0.064
proof,0.059,trickle,0.007,pale,0.064
kick,0.059,produce,0.007,garrison,0.064
know,0.059,head,0.006,page,0.064
abstain,0.059,bird,0.006,enable,0.064
lift,0.059,perfect,0.006,seel,0.064
recognize,0.059,silver,0.006,fill,0.064
mar,0.059,shoulder,0.006,rock,0.064
survey,0.059,knot,0.006,sequester,0.064
float,0.059,privilege,0.006,decay,0.064
adjust,0.059,please,0.006,corner,0.064
wet,0.059,calculate,0.006,border,0.064
mention,0.059,strand,0.006,transport,0.064
harm,0.059,believe,0.006,sigh,0.064
concur,0.059,wilt,0.006,stock,0.064
scan,0.059,liberate,0.006,pronounce,0.064
harvest,0.059,pour,0.006,disband,0.063
respond,0.059,refrain,0.006,lament,0.063
debate,0.059,cabin,0.006,indulge,0.063
discard,0.059,drain,0.006,reveal,0.063
purpose,0.059,amaze,0.006,head,0.063
ridicule,0.059,desire,0.006,brood,0.063
moonlight,0.059,suit,0.006,reign,0.063
piece,0.059,summon,0.006,moonlight,0.063
arise,0.059,market,0.006,discipline,0.063
relate,0.059,evaporate,0.006,lick,0.063
suit,0.059,pirate,0.006,light,0.063
sympathize,0.059,ball,0.006,bake,0.063
educate,0.059,migrate,0.006,ditto,0.063
squat,0.059,grass,0.005,encourage,0.063
project,0.059,bowl,0.005,loom,0.063
flit,0.059,reelect,0.005,retard,0.063
turn,0.059,pool,0.005,recommend,0.063
scar,0.059,cross,0.005,occupy,0.063
print,0.059,lord,0.005,snap,0.063
excuse,0.059,feather,0.005,entangle,0.063
hang,0.059,intersperse,0.005,patronize,0.062
warn,0.059,dissipate,0.005,shore,0.062
feather,0.059,brighten,0.005,alternate,0.062
rear,0.058,lick,0.005,rename,0.062
shore,0.058,chap,0.005,fence,0.062
adhere,0.058,delegate,0.005,exchange,0.062
describe,0.058,eat,0.005,purify,0.062
waver,0.058,rag,0.005,map,0.062
condescend,0.058,sever,0.005,average,0.062
grade,0.058,shrink,0.005,faint,0.062
scheme,0.058,wind,0.005,reconcile,0.062
fox,0.058,concentrate,0.005,retort,0.062
abate,0.058,weave,0.005,emerge,0.062
anoint,0.058,redeem,0.005,tread,0.062
dart,0.058,navigate,0.005,force,0.062
shed,0.058,smell,0.005,initiate,0.062
detail,0.058,deafen,0.005,inspect,0.061
accommodate,0.058,search,0.004,grip,0.061
bustle,0.058,bronze,0.004,lecture,0.061
perceive,0.058,hug,0.004,surrender,0.061
pirate,0.058,freeze,0.004,ornament,0.061
stretch,0.058,beach,0.004,riot,0.061
wilt,0.058,revel,0.004,hew,0.061
direct,0.058,rush,0.004,mount,0.061
crackle,0.058,repeat,0.004,glow,0.061
devise,0.058,obscure,0.004,twinkle,0.061
seel,0.058,tire,0.004,scream,0.061
bubble,0.058,block,0.004,color,0.061
oppress,0.058,desert,0.004,assign,0.061
embrace,0.058,issue,0.004,shed,0.061
comfort,0.058,revive,0.004,boat,0.061
remit,0.058,date,0.004,overshadow,0.061
decorate,0.058,plat,0.004,hoist,0.061
promote,0.058,drag,0.004,mention,0.061
rack,0.058,evolve,0.004,denounce,0.061
tow,0.058,pet,0.004,devil,0.061
bridge,0.058,perpetuate,0.004,step,0.061
cruise,0.058,ice,0.004,crash,0.060
boat,0.058,vent,0.004,creep,0.060
intersperse,0.058,thirst,0.004,civilize,0.060
hop,0.058,applaud,0.004,copy,0.060
aim,0.058,push,0.004,agitate,0.060
strike,0.058,click,0.004,wag,0.060
scatter,0.058,grin,0.004,blaze,0.060
redden,0.058,fruit,0.004,upset,0.060
counter,0.058,strive,0.004,confide,0.060
disapprove,0.058,diffuse,0.004,pile,0.060
proceed,0.058,elbow,0.004,pearl,0.060
anticipate,0.058,quarter,0.004,kick,0.060
illuminate,0.057,abound,0.004,stem,0.060
signify,0.057,tow,0.004,poise,0.060
spike,0.057,espouse,0.004,elapse,0.060
cultivate,0.057,pearl,0.004,cart,0.060
relax,0.057,knit,0.004,blockade,0.060
enlighten,0.057,profess,0.004,bob,0.060
consult,0.057,tuck,0.003,fowl,0.060
blame,0.057,trim,0.003,twin,0.060
pour,0.057,count,0.003,embrace,0.059
hew,0.057,perceive,0.003,quarry,0.059
droop,0.057,read,0.003,overturn,0.059
differ,0.057,punish,0.003,doom,0.059
treat,0.057,throb,0.003,eat,0.059
scrap,0.057,scour,0.003,hop,0.059
open,0.057,sight,0.003,mill,0.059
shield,0.057,command,0.003,reflect,0.059
flee,0.057,excel,0.003,drag,0.059
reel,0.057,ache,0.003,field,0.059
grapple,0.057,labor,0.003,presume,0.059
regret,0.057,diminish,0.003,wive,0.059
object,0.057,shield,0.003,narrow,0.059
lave,0.057,groan,0.003,abridge,0.059
despair,0.057,illuminate,0.003,eagle,0.059
recover,0.057,perplex,0.003,construct,0.059
terrace,0.057,elude,0.003,mourn,0.059
stream,0.057,argue,0.003,sustain,0.059
pocket,0.057,wrinkle,0.003,radiate,0.059
web,0.057,glass,0.003,laud,0.058
alarm,0.057,intervene,0.003,ebb,0.058
dazzle,0.057,swim,0.003,feign,0.058
rattle,0.057,stumble,0.003,reward,0.058
suppose,0.057,form,0.003,ascend,0.058
price,0.057,revoke,0.003,port,0.058
switch,0.057,fade,0.003,reproach,0.058
forbid,0.057,blood,0.003,ball,0.058
compete,0.057,swamp,0.003,pet,0.058
witness,0.057,compile,0.003,fight,0.058
augment,0.056,tread,0.003,stagger,0.058
narrow,0.056,quiver,0.003,author,0.058
scent,0.056,salute,0.003,lace,0.058
glance,0.056,peruse,0.003,sin,0.058
obey,0.056,construct,0.002,send,0.058
declare,0.056,body,0.002,deposit,0.058
press,0.056,single,0.002,blood,0.058
expect,0.056,powder,0.002,flag,0.058
sadden,0.056,rise,0.002,gaze,0.058
fathom,0.056,encroach,0.002,wrong,0.058
halt,0.056,queen,0.002,weed,0.058
ordain,0.056,civilize,0.002,hang,0.058
tear,0.056,trademark,0.002,startle,0.058
root,0.056,harm,0.002,alienate,0.058
trouble,0.056,wall,0.002,stratify,0.058
slope,0.056,soak,0.002,humble,0.058
register,0.056,knight,0.002,foster,0.058
frank,0.056,level,0.002,fuse,0.058
vent,0.056,supplant,0.002,whisper,0.058
tease,0.056,ornament,0.002,brown,0.058
structure,0.056,assign,0.002,prick,0.058
abhor,0.056,assent,0.002,transform,0.058
aggregate,0.056,bell,0.002,japan,0.057
disguise,0.056,radiate,0.002,chime,0.057
recede,0.056,prey,0.002,expect,0.057
prefer,0.056,injure,0.002,pop,0.057
savage,0.056,hum,0.002,glide,0.057
invite,0.056,reserve,0.002,club,0.057
cleanse,0.056,delight,0.002,beg,0.057
entrance,0.056,heal,0.002,expense,0.057
ting,0.056,shelve,0.002,examine,0.057
present,0.056,ruffle,0.002,blind,0.057
reconcile,0.055,revenge,0.002,distribute,0.057
digest,0.055,furrow,0.002,bore,0.057
fin,0.055,call,0.002,commit,0.057
lamb,0.055,raise,0.002,ally,0.057
cheat,0.055,pale,0.002,caution,0.057
ball,0.055,preserve,0.002,bet,0.057
glaze,0.055,hang,0.002,star,0.057
tax,0.055,foam,0.001,shell,0.057
obscure,0.055,stroll,0.001,castle,0.057
bay,0.055,get,0.001,addict,0.057
invent,0.055,hat,0.001,volunteer,0.057
disturb,0.055,overtake,0.001,scrap,0.056
hold,0.055,flank,0.001,bolt,0.056
commute,0.055,stalk,0.001,web,0.056
pile,0.055,resound,0.001,torment,0.056
prevent,0.055,continue,0.001,instruct,0.056
provide,0.055,sew,0.001,endow,0.056
surround,0.055,enrich,0.001,ascertain,0.056
charter,0.055,marshal,0.001,grapple,0.056
wag,0.055,complain,0.001,sell,0.056
insure,0.055,yoke,0.001,dig,0.056
disorder,0.055,caution,0.001,flood,0.056
power,0.055,decline,0.001,hate,0.056
lighten,0.055,lift,0.001,repel,0.056
insinuate,0.055,associate,0.001,bush,0.056
constitute,0.055,receive,0.001,enumerate,0.056
soldier,0.055,lamb,0.001,descend,0.056
patent,0.055,purpose,0.001,mouth,0.056
intimate,0.055,bush,0.001,thrive,0.056
heat,0.055,rest,0.000,mine,0.056
fasten,0.055,squat,0.000,dispatch,0.056
infuse,0.055,deplore,0.000,round,0.055
intensify,0.055,nurse,0.000,prey,0.055
frost,0.055,cook,0.000,shower,0.055
display,0.055,solve,0.000,plat,0.055
reprint,0.055,cultivate,0.000,spend,0.055
stow,0.055,perpetrate,0.000,overtake,0.055
race,0.055,intimate,0.000,encircle,0.055
labor,0.055,writhe,0.000,scatter,0.055
escort,0.055,scrap,0.000,bag,0.055
hunt,0.055,chance,0.000,land,0.055
heap,0.055,occasion,0.000,sail,0.055
hint,0.055,pay,0.000,sneer,0.055
reproduce,0.055,salt,0.000,evade,0.055
silver,0.055,kindle,-0.000,summon,0.054
denote,0.055,slop,-0.000,piece,0.054
encircle,0.055,occur,-0.000,drill,0.054
espouse,0.055,gratify,-0.000,fetch,0.054
battle,0.055,task,-0.000,cup,0.054
subdivide,0.055,hurl,-0.000,wheel,0.054
converse,0.054,dilute,-0.000,poll,0.054
trim,0.054,insure,-0.000,crest,0.054
indict,0.054,depart,-0.000,tolerate,0.054
thin,0.054,cheek,-0.000,bustle,0.054
advertise,0.054,mature,-0.000,interrupt,0.054
close,0.054,humiliate,-0.000,compile,0.054
dedicate,0.054,announce,-0.000,direct,0.054
repent,0.054,swell,-0.000,view,0.054
screen,0.054,entitle,-0.000,inform,0.054
thrust,0.054,line,-0.000,square,0.054
solicit,0.054,embroider,-0.001,conform,0.054
marshal,0.054,harden,-0.001,add,0.054
verse,0.054,age,-0.001,resolve,0.054
sight,0.054,chase,-0.001,trap,0.054
gear,0.054,shade,-0.001,develop,0.054
radiate,0.054,smuggle,-0.001,shield,0.054
usher,0.054,range,-0.001,pluck,0.054
draw,0.054,acknowledge,-0.001,read,0.054
distribute,0.054,falter,-0.001,perfume,0.054
cause,0.054,express,-0.001,kiss,0.054
weigh,0.054,find,-0.001,dispense,0.054
fund,0.054,correct,-0.001,boot,0.054
alight,0.054,fasten,-0.001,facilitate,0.054
freight,0.054,change,-0.001,augment,0.053
revive,0.054,rail,-0.001,profit,0.053
sneer,0.054,shine,-0.001,count,0.053
study,0.054,mislead,-0.001,gleam,0.053
curtain,0.054,diversify,-0.001,recall,0.053
rein,0.054,elapse,-0.001,edit,0.053
summon,0.054,draw,-0.001,arouse,0.053
stagger,0.054,flag,-0.001,vex,0.053
institute,0.054,buy,-0.001,file,0.053
gather,0.054,annoy,-0.001,captain,0.053
wall,0.054,droop,-0.001,article,0.053
pretend,0.054,blacken,-0.001,display,0.053
send,0.054,ease,-0.002,confuse,0.053
ail,0.054,wonder,-0.002,erase,0.053
shadow,0.054,lash,-0.002,grey,0.053
finance,0.054,shave,-0.002,survey,0.053
correspond,0.054,commend,-0.002,second,0.053
sin,0.054,envelop,-0.002,minister,0.052
prosecute,0.054,overshadow,-0.002,dash,0.052
impart,0.054,enchant,-0.002,concur,0.052
multiply,0.054,rain,-0.002,swamp,0.052
clash,0.054,appeal,-0.002,glare,0.052
article,0.053,bite,-0.002,deceive,0.052
sear,0.053,wheel,-0.002,interpret,0.052
dawn,0.053,mine,-0.002,career,0.052
satisfy,0.053,toy,-0.002,sober,0.052
burst,0.053,curtain,-0.002,tease,0.052
dilute,0.053,point,-0.002,rope,0.052
blood,0.053,fling,-0.002,open,0.052
interpose,0.053,compress,-0.002,produce,0.052
sustain,0.053,release,-0.002,prove,0.052
bowl,0.053,reflect,-0.002,skin,0.051
dream,0.053,endanger,-0.002,cleave,0.051
wheel,0.053,sow,-0.002,hold,0.051
habit,0.053,lament,-0.002,dot,0.051
kidnap,0.053,acquaint,-0.002,steal,0.051
damage,0.053,strain,-0.002,vent,0.051
foil,0.053,shout,-0.002,expel,0.051
league,0.053,cleanse,-0.002,brace,0.051
pant,0.053,climb,-0.002,free,0.051
sow,0.053,tongue,-0.002,disgust,0.051
bend,0.053,stuff,-0.002,cheat,0.051
acknowledge,0.053,sell,-0.002,awaken,0.051
entrust,0.053,effect,-0.002,face,0.051
flare,0.053,force,-0.002,spring,0.051
square,0.053,repent,-0.002,shout,0.051
can,0.053,quench,-0.003,quarter,0.051
dilapidate,0.053,acquit,-0.003,perplex,0.051
skim,0.053,thrive,-0.003,pace,0.051
bob,0.053,dine,-0.003,debate,0.051
scruple,0.053,object,-0.003,slip,0.051
wrinkle,0.053,even,-0.003,weave,0.051
target,0.053,chime,-0.003,nod,0.051
concert,0.053,emancipate,-0.003,wet,0.050
wring,0.053,reduce,-0.003,tat,0.050
recur,0.053,present,-0.003,knock,0.050
doubt,0.053,hoist,-0.003,lounge,0.050
credit,0.053,charter,-0.003,confirm,0.050
embarrass,0.053,boil,-0.003,lull,0.050
collapse,0.053,oust,-0.003,prolong,0.050
toll,0.053,jam,-0.003,overhang,0.050
answer,0.053,discontinue,-0.003,bend,0.050
entertain,0.052,crown,-0.003,cleanse,0.050
compound,0.052,cost,-0.003,imply,0.050
clench,0.052,scramble,-0.003,release,0.050
extend,0.052,disturb,-0.003,disapprove,0.050
spill,0.052,bottle,-0.003,flesh,0.050
train,0.052,abuse,-0.003,annex,0.050
ditto,0.052,infuse,-0.003,relapse,0.050
scratch,0.052,beckon,-0.003,distract,0.050
condemn,0.052,indict,-0.003,plunder,0.050
communicate,0.052,rein,-0.003,restrain,0.050
bronze,0.052,refer,-0.004,enrage,0.050
sprinkle,0.052,switch,-0.004,burst,0.049
slump,0.052,decay,-0.004,hat,0.049
put,0.052,signify,-0.004,preach,0.049
try,0.052,loiter,-0.004,sing,0.049
hug,0.052,carry,-0.004,kidnap,0.049
strand,0.052,avow,-0.004,achieve,0.049
sun,0.052,rock,-0.004,incite,0.049
light,0.052,exceed,-0.004,saturate,0.049
assist,0.052,benefit,-0.004,clean,0.049
displease,0.052,bounce,-0.004,soothe,0.049
stem,0.052,battle,-0.004,peep,0.049
settle,0.052,club,-0.004,poison,0.049
breed,0.052,neglect,-0.004,shape,0.049
ply,0.052,front,-0.004,tile,0.049
bow,0.052,compare,-0.004,breast,0.048
hill,0.052,summit,-0.004,recur,0.048
harry,0.052,compensate,-0.004,pit,0.048
conclude,0.052,preclude,-0.004,bellow,0.048
compare,0.052,seek,-0.004,embroider,0.048
fence,0.052,contribute,-0.004,arrange,0.048
color,0.052,reassure,-0.004,reappear,0.048
crush,0.052,collect,-0.004,magnify,0.048
moderate,0.051,tease,-0.004,cement,0.048
reveal,0.051,counter,-0.004,canton,0.048
voice,0.051,transport,-0.004,dangle,0.048
assume,0.051,swallow,-0.004,conspire,0.048
second,0.051,insinuate,-0.004,destroy,0.048
cover,0.051,mantle,-0.005,dust,0.048
exalt,0.051,repress,-0.005,meddle,0.048
